org,repo,number,date,is_merged,state,user
jupyter,jupyter_client,17,2015-05-13 19:09:20,True,closed,minrk
jupyter,jupyter_client,18,2015-05-14 01:33:57,True,closed,rgbkrk
jupyter,jupyter_client,20,2015-05-20 19:00:11,True,closed,minrk
jupyter,jupyter_client,21,2015-05-21 23:17:37,True,closed,minrk
jupyter,jupyter_client,22,2015-05-27 01:16:27,True,closed,takluyver
jupyter,jupyter_client,23,2015-05-28 19:07:47,True,closed,takluyver
jupyter,jupyter_client,24,2015-05-29 04:06:55,False,closed,dongweiming
jupyter,jupyter_client,25,2015-05-29 13:50:16,True,closed,dongweiming
jupyter,jupyter_client,26,2015-05-29 18:42:15,True,closed,minrk
jupyter,jupyter_client,27,2015-05-29 18:52:05,True,closed,Carreau
jupyter,jupyter_client,28,2015-06-10 18:39:41,True,closed,minrk
jupyter,jupyter_client,29,2015-06-11 18:42:35,False,closed,Carreau
jupyter,jupyter_client,30,2015-06-13 21:27:48,True,closed,minrk
jupyter,jupyter_client,33,2015-06-17 19:30:46,True,closed,takluyver
jupyter,jupyter_client,34,2015-06-22 15:11:28,True,closed,SylvainCorlay
jupyter,jupyter_client,36,2015-06-24 21:59:08,True,closed,takluyver
jupyter,jupyter_client,37,2015-06-24 22:38:57,True,closed,takluyver
jupyter,jupyter_client,40,2015-07-02 17:06:48,True,closed,takluyver
jupyter,jupyter_client,41,2015-07-02 17:26:27,True,closed,minrk
jupyter,jupyter_client,42,2015-07-03 19:04:59,True,closed,minrk
jupyter,jupyter_client,43,2015-07-03 22:04:39,True,closed,minrk
jupyter,jupyter_client,44,2015-07-03 22:49:57,True,closed,Carreau
jupyter,jupyter_client,45,2015-07-11 15:49:03,True,closed,emilienschultz
jupyter,jupyter_client,47,2015-07-11 17:34:19,True,closed,takluyver
jupyter,jupyter_client,48,2015-07-11 19:58:41,True,closed,emilienschultz
jupyter,jupyter_client,49,2015-07-11 21:01:40,True,closed,minrk
jupyter,jupyter_client,53,2015-07-20 20:18:48,True,closed,jasongrout
jupyter,jupyter_client,54,2015-07-23 02:33:55,False,closed,jasongrout
jupyter,jupyter_client,55,2015-07-23 22:14:27,True,closed,minrk
jupyter,jupyter_client,57,2015-08-03 21:00:41,True,closed,basheersubei
jupyter,jupyter_client,58,2015-08-13 23:37:41,True,closed,takluyver
jupyter,jupyter_client,59,2015-08-17 20:15:00,True,closed,minrk
jupyter,jupyter_client,60,2015-08-20 23:58:08,True,closed,minrk
jupyter,jupyter_client,61,2015-08-21 21:54:08,True,closed,minrk
jupyter,jupyter_client,64,2015-08-25 05:20:37,True,closed,jpallas
jupyter,jupyter_client,67,2015-09-03 09:35:29,True,closed,minrk
jupyter,jupyter_client,68,2015-09-04 14:15:15,True,closed,jdemeyer
jupyter,jupyter_client,69,2015-09-11 13:50:15,True,closed,jdemeyer
jupyter,jupyter_client,71,2015-09-12 20:45:42,True,closed,minrk
jupyter,jupyter_client,74,2015-09-18 14:01:47,True,closed,willingc
jupyter,jupyter_client,75,2015-09-25 11:57:05,False,closed,jdemeyer
jupyter,jupyter_client,77,2015-10-04 13:12:21,False,closed,tmr232
jupyter,jupyter_client,78,2015-10-05 08:31:05,True,closed,minrk
jupyter,jupyter_client,79,2015-10-05 09:24:00,True,closed,minrk
jupyter,jupyter_client,80,2015-10-05 10:58:31,True,closed,minrk
jupyter,jupyter_client,81,2015-10-06 09:31:10,True,closed,minrk
jupyter,jupyter_client,82,2015-10-08 10:36:40,True,closed,mseri
jupyter,jupyter_client,83,2015-10-08 20:45:43,True,closed,blink1073
jupyter,jupyter_client,84,2015-10-15 13:06:17,True,closed,darabos
jupyter,jupyter_client,86,2015-10-27 07:39:02,True,closed,tmr232
jupyter,jupyter_client,88,2015-10-28 09:24:52,False,closed,minrk
jupyter,jupyter_client,89,2015-10-29 10:49:23,True,closed,minrk
jupyter,jupyter_client,90,2015-10-31 01:10:02,True,closed,Carreau
jupyter,jupyter_client,92,2015-11-13 20:04:47,True,closed,mariusvniekerk
jupyter,jupyter_client,93,2015-11-15 03:09:32,True,closed,captainsafia
jupyter,jupyter_client,95,2015-11-26 15:14:39,True,closed,minrk
jupyter,jupyter_client,96,2015-11-29 05:20:03,True,closed,captainsafia
jupyter,jupyter_client,97,2015-11-30 12:16:22,True,closed,minrk
jupyter,jupyter_client,99,2015-12-02 22:43:57,True,closed,dhirschfeld
jupyter,jupyter_client,100,2015-12-04 09:31:22,True,closed,minrk
jupyter,jupyter_client,103,2015-12-06 07:59:49,True,closed,smartass101
jupyter,jupyter_client,105,2015-12-11 00:17:15,True,closed,aburgm
jupyter,jupyter_client,106,2016-01-13 12:27:54,True,closed,minrk
jupyter,jupyter_client,107,2016-01-13 15:51:23,True,closed,minrk
jupyter,jupyter_client,108,2016-01-13 22:31:53,True,closed,ngoldbaum
jupyter,jupyter_client,109,2016-01-14 13:59:39,True,closed,minrk
jupyter,jupyter_client,112,2016-01-21 16:28:07,True,closed,minrk
jupyter,jupyter_client,113,2016-01-26 21:20:13,True,closed,blink1073
jupyter,jupyter_client,114,2016-01-26 22:02:41,True,closed,takluyver
jupyter,jupyter_client,115,2016-01-27 14:03:36,False,closed,minrk
jupyter,jupyter_client,116,2016-01-28 10:37:55,True,closed,takluyver
jupyter,jupyter_client,118,2016-02-02 17:27:34,True,closed,takluyver
jupyter,jupyter_client,119,2016-02-03 23:58:55,True,closed,sn6uv
jupyter,jupyter_client,121,2016-02-04 15:50:25,True,closed,sn6uv
jupyter,jupyter_client,124,2016-02-09 16:48:39,True,closed,captainsafia
jupyter,jupyter_client,125,2016-02-09 18:48:40,True,closed,willingc
jupyter,jupyter_client,128,2016-02-17 15:35:24,True,closed,takluyver
jupyter,jupyter_client,130,2016-02-17 15:59:31,True,closed,minrk
jupyter,jupyter_client,131,2016-02-19 19:01:00,True,closed,jakirkham
jupyter,jupyter_client,132,2016-02-19 19:12:58,True,closed,minrk
jupyter,jupyter_client,133,2016-02-23 11:41:44,True,closed,pankajp
jupyter,jupyter_client,134,2016-02-24 09:49:26,True,closed,minrk
jupyter,jupyter_client,137,2016-03-02 23:15:42,False,closed,msftristew
jupyter,jupyter_client,139,2016-03-06 06:19:32,False,closed,willingc
jupyter,jupyter_client,140,2016-03-06 10:16:43,True,closed,minrk
jupyter,jupyter_client,141,2016-03-09 12:42:01,True,closed,minrk
